144	421688	1520	494
145	425011	1698	520
146	428611	324	191
147	429897	1310	529
148	433494	3578	1200
149	441696	1688	732
150	446674	1158	558
151	450448	891	433
152	453384	8	8
153	453440	175	68
154	453897	3	1
155	453906	599	390
156	456544	4248	1131
157	464183	2950	872
158	470037	3029	875
159	475997	234	174
160	477166	2648	758
161	482290	720	284
162	484179	1597	656
163	488638	1890	825
164	494193	1141	560
165	498011	608	345
166	500326	2046	686
167	504921	268	125
168	505764	271	193
169	507074	6641	1133
170	514855	7698	1282
171	523647	43	37
172	523900	4205	1686
173	535285	1189	524
174	538839	514	215
175	540231	25	15
176	540337	1266	486
177	543617	701	357
178	546004	1904	751
179	551063	103	45
180	551374	2107	445
181	554363	1691	368
182	556866	372	229
183	558394	1702	793
184	563741	7476	1240
185	572225	316	213
186	573661	87	61
187	574082	1821	757
188	579180	1269	637
189	583428	11493	1706
190	595007	4696	1911
191	607836	2470	1461
192	617588	2164	331
193	619872	3791	1356
194	628992	1261	466
195	632172	13049	957
196	638795	4274	914
197	644904	2331	485
198	648137	8	1
199	648146	741	437
200	651077	2320	810
201	656491	527	252
202	658196	497	249
203	659916	1047	369
204	662404	6591	2425
205	678775	1234	714
206	683561	1328	579
207	687510	5714	945
208	693886	1443	635
209	698116	516	251
210	699784	756	469
211	702927	3037	1033
212	709898	1019	230
213	711473	2408	842
214	717180	1736	366
215	719637	679	186
216	720897	4154	1263
217	729424	1260	417
218	732245	4451	458
219	735367	268	188
220	736614	2528	832
221	742195	2301	448
222	745233	4090	1255
223	753685	1958	804
224	759098	9926	1934
225	772197	2191	585
226	776156	3	2
227	776172	43	37
228	776422	2519	521
229	779965	915	331
230	782207	178	100
231	782883	316	138
232	783821	194	108
233	784549	28	18
234	784676	134	63
235	785092	2054	521
236	788616	3714	832
237	794308	448	228
238	795828	1629	592
239	799840	57	45
240	800141	32	23
241	800293	143	64
242	800727	162	91
243	801330	267	122
244	802163	222	94
245	802795	2421	463
246	806009	2766	501
247	809426	285	202
248	810776	430	143
249	811753	1882	675
250	816326	349	159
251	817395	122	79
252	817925	1	1
253	817934	1792	696
254	822618	470	137
255	823548	689	140
256	824509	164	55
257	824884	275	138
258	825808	577	271
259	827619	32	25
260	827783	2187	534
261	831401	324	162
262	832491	1547	546
263	836139	331	226
